date,age,gender,item,category,amount,label
2024-02-02,60,Male,Video Game,Entertainment,7636,
2024-02-13,32,Female,Rice,Groceries,4980,
2024-03-14,51,Male,Vegetables,Groceries,1245,Need
2024-03-25,37,Male,Rice,Groceries,4316,
2024-01-04,21,Male,Movie Ticket,Entertainment,8051,
2024-03-17,43,Male,Milk,Groceries,3403,
2024-01-04,45,Male,Video Game,Entertainment,913,Want
2024-02-24,52,Female,Medicine,Health & Wellness,8300,
2024-03-24,28,Female,Movie Ticket,Entertainment,1743,Want
2024-02-23,51,Male,Bread,Groceries,3735,
2024-01-19,28,Male,Rice,Groceries,3652,Need
2024-03-05,58,Male,Video Game,Entertainment,4482,
2024-01-12,26,Female,Netflix,Entertainment,3652,
2024-02-09,43,Male,Milk,Groceries,7719,
2024-03-26,33,Male,Movie Ticket,Entertainment,7055,
2024-03-28,59,Male,Rice,Groceries,1577,
2024-02-16,41,Female,Vegetables,Groceries,3569,
2024-01-13,58,Female,Netflix,Entertainment,3486,Want
2024-01-01,45,Female,Netflix,Entertainment,1079,
2024-03-13,20,Female,Rice,Groceries,2241,Need
2024-02-09,34,Female,Netflix,Entertainment,4565,
2024-02-20,47,Male,Bread,Groceries,6806,
2024-01-07,50,Male,Milk,Groceries,2490,
2024-03-08,50,Female,Video Game,Entertainment,6640,
2024-02-22,18,Male,Netflix,Entertainment,8217,
2024-03-22,51,Male,Milk,Groceries,1411,Need
2024-02-21,35,Female,Netflix,Entertainment,5312,
2024-01-10,53,Female,Netflix,Entertainment,1577,
2024-01-14,42,Male,Medicine,Health & Wellness,830,Need
2024-02-02,46,Female,Movie Ticket,Entertainment,6474,
2024-01-11,36,Female,Netflix,Entertainment,4897,
2024-01-08,21,Female,Rice,Groceries,2656,
2024-03-12,53,Male,Movie Ticket,Entertainment,2739,
2024-02-08,24,Female,Netflix,Entertainment,1411,
2024-02-29,36,Female,Rice,Groceries,5727,Need
2024-02-27,33,Male,Vegetables,Groceries,1079,
2024-02-19,46,Male,Movie Ticket,Entertainment,7553,Want
2024-03-14,26,Female,Movie Ticket,Entertainment,7885,
2024-01-25,34,Female,Rice,Groceries,7055,
2024-03-30,35,Male,Video Game,Entertainment,1992,
2024-03-01,25,Female,Movie Ticket,Entertainment,6972,
2024-02-29,44,Male,Vegetables,Groceries,4814,Need
2024-01-17,53,Female,Video Game,Entertainment,6557,
2024-02-28,38,Female,Rice,Groceries,2075,Need
2024-01-14,51,Male,Medicine,Health & Wellness,5561,
2024-02-01,28,Male,Video Game,Entertainment,5146,
2024-03-24,30,Male,Medicine,Health & Wellness,4897,
2024-02-22,45,Male,Vegetables,Groceries,4814,
2024-02-10,52,Female,Video Game,Entertainment,7387,
2024-02-01,23,Female,Milk,Groceries,7221,
2024-01-08,52,Male,Video Game,Entertainment,3237,
2024-02-01,21,Female,Rice,Groceries,7138,
2024-03-24,31,Male,Video Game,Entertainment,1162,Want
2024-03-05,22,Female,Video Game,Entertainment,3154,Want
2024-01-31,27,Male,Movie Ticket,Entertainment,2241,Want
2024-01-20,50,Female,Netflix,Entertainment,5561,
2024-01-03,19,Male,Vegetables,Groceries,4814,
2024-02-22,36,Male,Video Game,Entertainment,7387,
2024-01-06,32,Male,Movie Ticket,Entertainment,4150,
2024-02-29,39,Male,Rice,Groceries,1660,
2024-01-24,43,Female,Video Game,Entertainment,5229,
2024-03-04,37,Male,Rice,Groceries,5395,
2024-01-22,52,Male,Movie Ticket,Entertainment,4648,
2024-02-26,27,Female,Bread,Groceries,913,
2024-02-23,30,Male,Movie Ticket,Entertainment,3652,
2024-01-09,37,Male,Vegetables,Groceries,5395,Need
2024-01-19,56,Male,Vegetables,Groceries,4897,
2024-01-05,47,Male,Video Game,Entertainment,5478,
2024-01-11,21,Female,Medicine,Health & Wellness,1992,Need
2024-03-25,56,Male,Netflix,Entertainment,1494,
2024-01-06,43,Female,Rice,Groceries,3403,Need
2024-02-04,48,Female,Movie Ticket,Entertainment,3154,Want
2024-01-20,57,Female,Vegetables,Groceries,7885,
2024-01-06,45,Male,Vegetables,Groceries,996,
2024-03-12,32,Male,Vegetables,Groceries,6806,
2024-01-01,27,Male,Video Game,Entertainment,1660,
2024-01-19,40,Female,Milk,Groceries,6142,
2024-02-04,34,Male,Medicine,Health & Wellness,6474,Need
2024-03-05,33,Male,Netflix,Entertainment,1245,
2024-03-20,32,Female,Vegetables,Groceries,2407,
2024-01-01,52,Female,Video Game,Entertainment,6225,Want
2024-01-14,39,Male,Rice,Groceries,3984,
2024-02-26,43,Male,Netflix,Entertainment,8051,
2024-01-13,60,Female,Medicine,Health & Wellness,3735,
2024-02-20,31,Female,Rice,Groceries,8217,Need
2024-03-16,32,Female,Rice,Groceries,3237,
2024-01-20,29,Male,Medicine,Health & Wellness,2075,
2024-03-11,21,Female,Movie Ticket,Entertainment,5893,
2024-02-19,49,Female,Movie Ticket,Entertainment,7968,
2024-03-01,50,Male,Video Game,Entertainment,830,
2024-01-03,41,Male,Video Game,Entertainment,5395,
2024-01-12,33,Female,Video Game,Entertainment,7387,
2024-01-28,24,Male,Netflix,Entertainment,6225,
2024-02-07,42,Male,Rice,Groceries,1909,Need
2024-02-01,38,Male,Medicine,Health & Wellness,1909,
2024-03-11,24,Female,Video Game,Entertainment,5976,
2024-01-10,26,Female,Rice,Groceries,7138,
2024-01-22,31,Male,Medicine,Health & Wellness,1743,
2024-02-01,35,Male,Vegetables,Groceries,4814,
2024-02-27,20,Male,Milk,Groceries,2158,
2024-01-03,20,Female,Rice,Groceries,5229,
2024-01-09,39,Female,Medicine,Health & Wellness,6391,
2024-01-14,35,Female,Video Game,Entertainment,5395,
2024-02-27,58,Female,Movie Ticket,Entertainment,2407,Want
2024-01-10,36,Female,Video Game,Entertainment,3735,
2024-01-02,50,Female,Video Game,Entertainment,5063,Want
2024-02-28,48,Male,Video Game,Entertainment,7221,
2024-01-11,21,Male,Medicine,Health & Wellness,2573,
2024-03-25,36,Male,Video Game,Entertainment,1328,
2024-03-11,42,Male,Video Game,Entertainment,2656,Want
2024-03-15,39,Male,Rice,Groceries,4897,Need
2024-02-05,18,Female,Vegetables,Groceries,6059,
2024-03-08,37,Male,Video Game,Entertainment,7304,Want
2024-02-26,58,Female,Rice,Groceries,1992,Need
2024-01-08,32,Female,Rice,Groceries,6640,
2024-03-16,26,Male,Milk,Groceries,3237,
2024-03-10,25,Male,Video Game,Entertainment,2905,
2024-02-21,60,Male,Bread,Groceries,6391,
2024-03-09,18,Male,Bread,Groceries,7304,
2024-02-10,34,Male,Medicine,Health & Wellness,7968,Need
2024-03-24,34,Male,Netflix,Entertainment,6225,
2024-01-26,33,Female,Netflix,Entertainment,7802,
2024-01-18,53,Female,Movie Ticket,Entertainment,1577,Want
2024-02-19,59,Female,Movie Ticket,Entertainment,5893,Want
2024-02-02,56,Male,Netflix,Entertainment,7719,
2024-02-12,26,Female,Video Game,Entertainment,7387,
2024-01-25,58,Male,Movie Ticket,Entertainment,4731,
2024-01-04,58,Male,Milk,Groceries,3237,
2024-01-26,40,Female,Video Game,Entertainment,3154,Want
2024-01-10,22,Male,Movie Ticket,Entertainment,3320,Want
2024-01-23,40,Female,Milk,Groceries,8134,
2024-02-26,43,Male,Medicine,Health & Wellness,3071,
2024-03-04,41,Male,Bread,Groceries,1162,Need
2024-03-27,34,Male,Vegetables,Groceries,4814,
2024-02-02,46,Male,Video Game,Entertainment,4233,
2024-01-14,29,Male,Rice,Groceries,2573,Need
2024-03-05,43,Female,Video Game,Entertainment,7055,Want
2024-03-16,25,Female,Movie Ticket,Entertainment,2739,
2024-02-04,60,Male,Bread,Groceries,3652,Need
2024-03-02,23,Female,Bread,Groceries,1992,Need
2024-01-15,31,Female,Video Game,Entertainment,6308,
2024-02-04,23,Female,Bread,Groceries,1826,
2024-03-27,45,Female,Rice,Groceries,1079,
2024-02-08,23,Female,Medicine,Health & Wellness,4980,
2024-03-31,21,Male,Video Game,Entertainment,4897,
2024-02-24,37,Male,Bread,Groceries,8134,Need
2024-02-13,30,Male,Netflix,Entertainment,6391,Want
2024-02-14,38,Male,Video Game,Entertainment,7304,
2024-01-17,18,Female,Rice,Groceries,6059,
2024-03-26,41,Female,Netflix,Entertainment,2656,
2024-02-13,26,Male,Rice,Groceries,1909,
2024-03-30,21,Female,Milk,Groceries,5976,
2024-03-06,33,Male,Movie Ticket,Entertainment,5312,
2024-01-07,26,Female,Movie Ticket,Entertainment,3154,
2024-02-13,60,Male,Netflix,Entertainment,6391,
2024-01-19,26,Female,Rice,Groceries,7304,
2024-01-27,50,Female,Movie Ticket,Entertainment,6557,
2024-01-18,29,Male,Movie Ticket,Entertainment,6059,
2024-02-22,32,Female,Milk,Groceries,1826,
2024-03-04,26,Male,Vegetables,Groceries,8134,
2024-03-05,26,Male,Medicine,Health & Wellness,5229,Need
2024-02-14,21,Male,Medicine,Health & Wellness,3735,
2024-01-07,47,Female,Rice,Groceries,4897,
2024-02-02,25,Female,Movie Ticket,Entertainment,7470,
2024-02-27,56,Male,Vegetables,Groceries,2905,
2024-02-06,43,Female,Movie Ticket,Entertainment,8217,Want
2024-01-25,34,Female,Movie Ticket,Entertainment,3735,
2024-02-04,37,Male,Netflix,Entertainment,7719,
2024-01-17,23,Female,Rice,Groceries,5644,Need
2024-01-30,34,Male,Bread,Groceries,2739,
2024-02-18,60,Female,Vegetables,Groceries,7802,
2024-03-10,40,Male,Netflix,Entertainment,3154,
2024-01-25,53,Male,Milk,Groceries,4980,Need
2024-03-12,29,Female,Vegetables,Groceries,7885,
2024-02-26,34,Female,Milk,Groceries,6059,
2024-02-05,59,Female,Movie Ticket,Entertainment,6889,
2024-03-24,33,Female,Vegetables,Groceries,6391,
2024-02-09,54,Female,Video Game,Entertainment,7055,
2024-03-27,54,Female,Rice,Groceries,5312,
2024-03-17,22,Female,Medicine,Health & Wellness,3154,
2024-03-04,34,Male,Video Game,Entertainment,4233,Want
2024-02-15,44,Male,Movie Ticket,Entertainment,6806,
2024-01-16,27,Male,Vegetables,Groceries,7553,Need
2024-02-10,51,Female,Medicine,Health & Wellness,1743,
2024-01-02,37,Female,Vegetables,Groceries,3652,
2024-01-18,42,Female,Milk,Groceries,6308,
2024-01-30,50,Male,Vegetables,Groceries,3071,
2024-03-21,39,Female,Bread,Groceries,3735,
2024-01-27,51,Male,Video Game,Entertainment,4897,
2024-01-13,33,Female,Milk,Groceries,2407,
2024-01-04,55,Female,Netflix,Entertainment,5976,
2024-01-16,18,Female,Netflix,Entertainment,6474,
2024-02-25,23,Female,Movie Ticket,Entertainment,3486,
2024-03-28,27,Female,Video Game,Entertainment,6059,
2024-01-05,41,Female,Movie Ticket,Entertainment,4316,
2024-02-11,60,Male,Medicine,Health & Wellness,3569,
2024-02-17,30,Female,Movie Ticket,Entertainment,7968,
2024-02-26,43,Female,Milk,Groceries,6889,
2024-01-06,27,Female,Rice,Groceries,5644,
2024-02-15,52,Female,Vegetables,Groceries,2075,
2024-02-04,41,Female,Bread,Groceries,4399,
2024-03-03,59,Male,Rice,Groceries,830,Need
2024-01-18,31,Male,Rice,Groceries,2573,
2024-02-16,58,Female,Movie Ticket,Entertainment,6391,
2024-01-18,24,Male,Medicine,Health & Wellness,4067,
2024-01-11,22,Female,Medicine,Health & Wellness,7055,
2024-03-21,26,Female,Rice,Groceries,2324,
2024-03-24,39,Male,Medicine,Health & Wellness,4648,Need
2024-02-16,26,Female,Vegetables,Groceries,7304,
2024-03-28,38,Female,Medicine,Health & Wellness,2739,
2024-01-21,42,Female,Rice,Groceries,6640,
2024-03-12,36,Female,Bread,Groceries,6142,
2024-02-19,53,Female,Netflix,Entertainment,5810,
2024-03-26,20,Male,Medicine,Health & Wellness,996,
2024-01-06,37,Male,Medicine,Health & Wellness,1577,
2024-03-12,44,Male,Netflix,Entertainment,4731,
2024-01-16,50,Male,Movie Ticket,Entertainment,6225,Want
2024-02-18,51,Male,Rice,Groceries,7304,
2024-03-18,30,Female,Bread,Groceries,4648,
2024-01-17,51,Female,Netflix,Entertainment,5893,
2024-03-02,46,Male,Milk,Groceries,6640,
2024-02-06,60,Male,Medicine,Health & Wellness,3320,
2024-02-25,50,Female,Netflix,Entertainment,7719,Want
2024-02-29,42,Female,Rice,Groceries,3652,
2024-02-07,43,Female,Vegetables,Groceries,6972,Need
2024-02-28,40,Male,Medicine,Health & Wellness,6557,Need
2024-03-27,24,Female,Movie Ticket,Entertainment,8134,
2024-01-05,36,Female,Medicine,Health & Wellness,5644,
2024-03-21,19,Male,Video Game,Entertainment,6142,Want
2024-01-03,30,Female,Netflix,Entertainment,1909,Want
2024-03-17,52,Male,Milk,Groceries,6889,
2024-01-23,53,Male,Movie Ticket,Entertainment,1328,
2024-02-11,48,Female,Netflix,Entertainment,1245,
2024-03-15,48,Female,Movie Ticket,Entertainment,3071,
2024-01-04,20,Male,Milk,Groceries,913,
2024-02-01,40,Male,Movie Ticket,Entertainment,4648,
2024-01-15,59,Male,Medicine,Health & Wellness,6889,
2024-03-29,38,Male,Movie Ticket,Entertainment,3154,
2024-02-06,60,Male,Vegetables,Groceries,3403,
2024-02-26,58,Male,Movie Ticket,Entertainment,1743,
2024-03-06,25,Female,Video Game,Entertainment,4233,
2024-01-19,37,Female,Vegetables,Groceries,1411,
2024-03-23,49,Male,Medicine,Health & Wellness,1328,
2024-02-10,29,Male,Movie Ticket,Entertainment,2407,Want
2024-01-30,19,Female,Bread,Groceries,7304,Need
2024-02-09,50,Male,Vegetables,Groceries,5395,
2024-01-21,58,Female,Bread,Groceries,3735,Need
2024-02-28,51,Male,Vegetables,Groceries,4399,
2024-03-31,38,Male,Video Game,Entertainment,6723,
2024-03-19,19,Female,Milk,Groceries,1909,
2024-03-19,39,Male,Movie Ticket,Entertainment,1660,
2024-02-12,50,Male,Vegetables,Groceries,2241,
2024-02-21,54,Male,Video Game,Entertainment,1577,Want
2024-02-05,58,Female,Vegetables,Groceries,7055,Need
2024-02-20,49,Male,Netflix,Entertainment,5146,
2024-02-08,22,Female,Medicine,Health & Wellness,913,
2024-02-02,28,Female,Netflix,Entertainment,4233,
2024-02-28,25,Male,Medicine,Health & Wellness,6225,Need
2024-01-18,31,Female,Medicine,Health & Wellness,3984,
2024-03-02,53,Female,Vegetables,Groceries,4565,
2024-03-30,54,Male,Rice,Groceries,1992,
2024-02-09,19,Male,Bread,Groceries,2158,
2024-03-25,56,Female,Video Game,Entertainment,2407,
2024-02-28,51,Female,Milk,Groceries,4316,
2024-01-02,22,Female,Netflix,Entertainment,6308,Want
2024-02-01,45,Female,Netflix,Entertainment,5893,
2024-01-13,21,Male,Video Game,Entertainment,5229,
2024-01-07,39,Female,Rice,Groceries,6474,
2024-01-09,29,Male,Bread,Groceries,5395,
2024-01-26,30,Female,Bread,Groceries,2739,
2024-02-18,55,Female,Medicine,Health & Wellness,8051,
2024-01-19,40,Female,Milk,Groceries,6142,Need
2024-03-14,60,Female,Netflix,Entertainment,7138,
2024-02-13,43,Female,Bread,Groceries,3652,
2024-03-21,44,Male,Movie Ticket,Entertainment,6142,
2024-02-29,41,Female,Video Game,Entertainment,2075,Want
2024-03-19,35,Female,Rice,Groceries,4897,
2024-02-17,58,Female,Vegetables,Groceries,6142,Need
2024-03-19,48,Male,Medicine,Health & Wellness,3569,
2024-03-17,37,Female,Milk,Groceries,996,Need
2024-01-03,29,Male,Video Game,Entertainment,2407,
2024-03-05,51,Male,Bread,Groceries,1079,
2024-01-23,43,Female,Movie Ticket,Entertainment,7802,Want
2024-01-03,34,Female,Vegetables,Groceries,7885,
2024-02-13,40,Female,Medicine,Health & Wellness,5063,
2024-03-29,23,Female,Rice,Groceries,6723,Need
2024-01-28,39,Male,Netflix,Entertainment,6723,
2024-02-27,46,Male,Movie Ticket,Entertainment,1328,
2024-02-16,27,Male,Video Game,Entertainment,2158,
2024-03-30,60,Female,Medicine,Health & Wellness,3320,
2024-01-26,51,Male,Milk,Groceries,1245,
2024-02-20,42,Male,Netflix,Entertainment,4814,
2024-01-18,57,Male,Milk,Groceries,5395,Need
2024-03-07,40,Male,Medicine,Health & Wellness,3818,Need
2024-01-25,55,Female,Video Game,Entertainment,3403,
2024-01-06,45,Female,Video Game,Entertainment,2905,
2024-03-02,51,Male,Netflix,Entertainment,4980,
2024-01-22,36,Male,Rice,Groceries,4150,
2024-02-16,42,Male,Medicine,Health & Wellness,7719,
2024-02-20,54,Female,Bread,Groceries,3403,
2024-01-08,47,Male,Milk,Groceries,2656,Need
2024-03-01,28,Male,Milk,Groceries,1162,
2024-02-03,23,Male,Movie Ticket,Entertainment,3569,
2024-03-27,33,Male,Rice,Groceries,7304,
2024-03-08,30,Male,Bread,Groceries,8051,Need
2024-03-01,47,Male,Bread,Groceries,4980,
2024-01-13,40,Male,Rice,Groceries,6806,
2024-01-23,22,Female,Netflix,Entertainment,2739,
2024-02-02,18,Male,Medicine,Health & Wellness,1411,
2024-03-24,53,Male,Vegetables,Groceries,5810,Need
2024-01-06,23,Male,Movie Ticket,Entertainment,2905,
2024-02-19,24,Female,Bread,Groceries,7470,
2024-03-12,45,Male,Medicine,Health & Wellness,6391,
2024-02-26,43,Male,Movie Ticket,Entertainment,4482,
2024-03-12,53,Female,Movie Ticket,Entertainment,1826,
2024-03-12,19,Female,Movie Ticket,Entertainment,5976,Want
2024-02-28,33,Male,Netflix,Entertainment,1992,
2024-02-11,43,Female,Bread,Groceries,2739,
2024-01-23,54,Female,Vegetables,Groceries,6225,
2024-01-15,40,Male,Rice,Groceries,5976,
2024-01-13,24,Female,Vegetables,Groceries,6391,
